phase,iteration,meco_mach,pitch_time_0,pitch_angle_0,pitch_time_1,pitch_angle_1,pitch_time_2,pitch_angle_2,pitch_time_3,pitch_angle_3,pitch_time_4,pitch_angle_4,coast_s,upper_burn_s,upper_ignition_delay_s,azimuth_deg,upper_pitch_time_0,upper_pitch_angle_0,upper_pitch_time_1,upper_pitch_angle_1,upper_pitch_time_2,upper_pitch_angle_2,upper_pitch_time_3,upper_pitch_angle_3,upper_throttle_level_0,upper_throttle_level_1,upper_throttle_level_2,upper_throttle_level_3,upper_throttle_switch_ratio_0,upper_throttle_switch_ratio_1,upper_throttle_switch_ratio_2,booster_throttle_level_0,booster_throttle_level_1,booster_throttle_level_2,booster_throttle_level_3,booster_throttle_switch_ratio_0,booster_throttle_switch_ratio_1,booster_throttle_switch_ratio_2,cost,fuel,orbit_error,perigee_error_m,apoapsis_error_m,max_altitude_m,eval_t_sim_s,eval_altitude_m,eval_speed_mps,eval_vr_mps,eval_fpa_deg,cutoff_reason,perigee_alt_m,apoapsis_alt_m,eccentricity,fuel_main_kg,fuel_circ_kg,fuel_total_kg,circ_dv_mps,circ_applied,perigee_alt_pre_circ_m,apoapsis_alt_pre_circ_m,eccentricity_pre_circ,orbit_error_pre_circ_m,status_pre_circ,booster_pitch_program_sorted,upper_pitch_program_sorted,booster_throttle_schedule,upper_throttle_schedule,status
Phase 2 (coarse),1156,5.5899,5.6,88.3,34.1,80.4,70.9,57.1,119.1,48.9,125.3,21.2,25.5,831.4,17.4,0.0,18.4,74.5,268.4,21.3,799.8,1.4,441.8,1.5,0.82,0.80,0.97,0.73,0.07,0.29,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1005772532.65,5799864.25,1000000000.00,0.00,0.00,762415.99,610.500,762415.99,10582.379,2785.231,15.260,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.6,88.3],[34.1,80.4],[70.9,57.1],[119.1,48.9],[125.3,21.2]]","[[18.4,74.5],[268.4,21.3],[441.8,1.5],[799.8,1.4]]","[[0.0,1.0],[12.535,1.0],[12.535,1.0],[62.675,1.0],[62.675,1.0],[112.814,1.0],[112.814,1.0],[125.349,1.0],[1000000000.0,1.0]]","[[0.0,0.818],[60.036,0.818],[60.036,0.803],[241.286,0.803],[241.286,0.972],[789.86,0.972],[789.86,0.732],[831.439,0.732],[832.439,0.0]]",ESCAPE
Phase 2 (coarse),1155,5.7178,5.8,86.3,28.7,82.7,66.0,57.4,115.2,45.9,126.1,23.3,29.3,704.0,19.6,0.0,19.5,75.0,216.9,16.8,786.1,4.1,477.3,4.0,0.73,0.75,0.99,0.75,0.10,0.33,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1010754095.43,5806359.90,1000000000.00,0.00,0.00,528467.81,622.000,528467.81,10769.189,1780.069,9.514,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.8,86.3],[28.7,82.7],[66.0,57.4],[115.2,45.9],[126.1,23.3]]","[[19.5,75.0],[216.9,16.8],[477.3,4.0],[786.1,4.1]]","[[0.0,1.0],[12.608,1.0],[12.608,1.0],[63.041,1.0],[63.041,1.0],[113.474,1.0],[113.474,1.0],[126.082,1.0],[1000000000.0,1.0]]","[[0.0,0.735],[71.889,0.735],[71.889,0.748],[233.986,0.748],[233.986,0.994],[663.75,0.994],[663.75,0.751],[703.952,0.751],[704.952,0.0]]",ESCAPE
Phase 2 (coarse),1158,5.6234,6.0,86.5,42.3,78.5,61.7,56.7,117.2,42.3,128.5,21.9,29.9,833.0,17.9,0.0,14.7,67.2,180.9,21.3,668.4,4.4,368.0,3.2,0.83,0.73,0.99,0.73,0.10,0.30,0.92,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1000377396.73,5801113.88,1000000000.00,0.00,0.00,526201.15,619.000,526201.15,10751.667,1859.230,9.958,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.0,86.5],[42.3,78.5],[61.7,56.7],[117.2,42.3],[128.5,21.9]]","[[14.7,67.2],[180.9,21.3],[368.0,3.2],[668.4,4.4]]","[[0.0,1.0],[12.848,1.0],[12.848,1.0],[64.242,1.0],[64.242,1.0],[115.635,1.0],[115.635,1.0],[128.483,1.0],[1000000000.0,1.0]]","[[0.0,0.831],[84.51,0.831],[84.51,0.727],[253.801,0.727],[253.801,0.993],[768.603,0.993],[768.603,0.731],[832.965,0.731],[833.965,0.0]]",ESCAPE
Phase 2 (coarse),1154,5.6986,3.7,88.1,35.6,81.6,63.4,61.2,113.4,45.4,124.4,21.6,28.9,803.2,20.0,0.0,17.6,73.9,287.7,18.0,567.9,0.1,474.1,3.6,0.74,0.69,0.99,0.83,0.09,0.29,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1006376788.66,5817938.21,1000000000.00,0.00,0.00,589928.78,637.000,589928.78,10713.550,1628.527,8.743,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.7,88.1],[35.6,81.6],[63.4,61.2],[113.4,45.4],[124.4,21.6]]","[[17.6,73.9],[287.7,18.0],[474.1,3.6],[567.9,0.1]]","[[0.0,1.0],[12.442,1.0],[12.442,1.0],[62.209,1.0],[62.209,1.0],[111.976,1.0],[111.976,1.0],[124.418,1.0],[1000000000.0,1.0]]","[[0.0,0.745],[74.069,0.745],[74.069,0.689],[235.669,0.689],[235.669,0.995],[758.767,0.995],[758.767,0.827],[803.224,0.827],[804.224,0.0]]",ESCAPE
Phase 2 (coarse),1162,5.7091,3.1,88.5,46.0,79.8,64.4,56.1,115.8,44.0,125.5,21.3,29.5,831.0,16.8,0.0,19.5,65.2,252.2,23.6,801.0,3.8,236.5,4.6,0.75,0.95,0.99,0.84,0.15,0.25,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1003645002.74,5831736.24,1000000000.00,0.00,0.00,749813.04,597.500,749813.04,10587.702,3054.745,16.769,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.1,88.5],[46.0,79.8],[64.4,56.1],[115.8,44.0],[125.5,21.3]]","[[19.5,65.2],[236.5,4.6],[252.2,23.6],[801.0,3.8]]","[[0.0,1.0],[12.552,1.0],[12.552,1.0],[62.758,1.0],[62.758,1.0],[112.965,1.0],[112.965,1.0],[125.517,1.0],[1000000000.0,1.0]]","[[0.0,0.75],[124.821,0.75],[124.821,0.951],[208.252,0.951],[208.252,0.989],[777.427,0.989],[777.427,0.836],[831.013,0.836],[832.013,0.0]]",ESCAPE
Phase 2 (coarse),1161,5.6973,4.8,88.5,36.1,77.2,64.1,51.3,114.7,44.4,132.9,21.0,30.0,811.2,17.1,0.0,18.7,72.4,234.3,9.5,630.8,1.4,240.5,3.3,0.76,0.80,0.90,0.86,0.06,0.31,0.93,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1020503641.31,5812472.24,1000000000.00,0.00,0.00,406685.09,622.000,406685.09,10858.589,820.632,4.334,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.8,88.5],[36.1,77.2],[64.1,51.3],[114.7,44.4],[132.9,21.0]]","[[18.7,72.4],[234.3,9.5],[240.5,3.3],[630.8,1.4]]","[[0.0,1.0],[13.292,1.0],[13.292,1.0],[66.46,1.0],[66.46,1.0],[119.629,1.0],[119.629,1.0],[132.921,1.0],[1000000000.0,1.0]]","[[0.0,0.76],[48.24,0.76],[48.24,0.799],[253.954,0.799],[253.954,0.897],[751.663,0.897],[751.663,0.855],[811.2,0.855],[812.2,0.0]]",ESCAPE
Phase 2 (coarse),1164,5.6695,5.9,85.7,41.0,82.7,67.6,58.5,120.0,42.5,133.7,25.5,29.5,831.6,18.1,0.0,18.5,73.9,267.6,16.7,720.3,2.1,700.6,2.8,0.77,0.83,0.95,0.73,0.11,0.26,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1003062221.23,5815319.00,1000000000.00,0.00,0.00,673932.78,615.000,673932.78,10643.400,2173.955,11.786,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.9,85.7],[41.0,82.7],[67.6,58.5],[120.0,42.5],[133.7,25.5]]","[[18.5,73.9],[267.6,16.7],[700.6,2.8],[720.3,2.1]]","[[0.0,1.0],[13.37,1.0],[13.37,1.0],[66.851,1.0],[66.851,1.0],[120.331,1.0],[120.331,1.0],[133.702,1.0],[1000000000.0,1.0]]","[[0.0,0.767],[88.715,0.767],[88.715,0.831],[214.099,0.831],[214.099,0.947],[786.961,0.947],[786.961,0.734],[831.636,0.734],[832.636,0.0]]",ESCAPE
Phase 2 (coarse),1163,5.6517,2.0,86.7,33.9,77.1,62.4,55.4,118.4,44.5,127.2,22.7,25.8,795.5,9.3,0.0,15.4,73.8,228.6,19.7,774.7,0.0,372.9,2.5,0.79,0.79,0.90,0.79,0.07,0.35,0.92,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1007691800.97,5799397.07,1000000000.00,0.00,0.00,617407.02,616.000,617407.02,10694.972,2033.822,10.962,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.0,86.7],[33.9,77.1],[62.4,55.4],[118.4,44.5],[127.2,22.7]]","[[15.4,73.8],[228.6,19.7],[372.9,2.5],[774.7,0.0]]","[[0.0,1.0],[12.722,1.0],[12.722,1.0],[63.608,1.0],[63.608,1.0],[114.494,1.0],[114.494,1.0],[127.216,1.0],[1000000000.0,1.0]]","[[0.0,0.791],[52.321,0.791],[52.321,0.788],[279.148,0.788],[279.148,0.9],[732.524,0.9],[732.524,0.791],[795.529,0.791],[796.529,0.0]]",ESCAPE
Phase 2 (coarse),1166,5.7072,4.4,88.3,40.1,84.8,63.6,50.3,118.9,42.2,124.8,21.5,23.7,754.3,13.4,0.0,19.0,74.3,223.4,18.6,543.2,0.9,312.3,4.0,0.93,0.72,0.92,0.81,0.10,0.26,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1005690686.48,5840826.64,1000000000.00,0.00,0.00,627985.96,604.000,627985.96,10683.163,1670.846,8.998,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.4,88.3],[40.1,84.8],[63.6,50.3],[118.9,42.2],[124.8,21.5]]","[[19.0,74.3],[223.4,18.6],[312.3,4.0],[543.2,0.9]]","[[0.0,1.0],[12.482,1.0],[12.482,1.0],[62.408,1.0],[62.408,1.0],[112.334,1.0],[112.334,1.0],[124.815,1.0],[1000000000.0,1.0]]","[[0.0,0.934],[73.081,0.934],[73.081,0.722],[196.23,0.722],[196.23,0.924],[709.024,0.924],[709.024,0.805],[754.274,0.805],[755.274,0.0]]",ESCAPE
Phase 2 (coarse),1168,5.5924,6.1,88.1,31.2,78.3,71.2,52.7,118.9,46.1,125.7,21.1,23.6,833.6,19.6,0.0,19.5,73.5,286.0,23.1,791.1,0.6,863.9,3.3,0.77,0.88,0.98,0.75,0.10,0.28,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1006818267.43,5794225.70,1000000000.00,0.00,0.00,815028.79,597.500,815028.79,10545.632,3241.221,17.900,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.1,88.1],[31.2,78.3],[71.2,52.7],[118.9,46.1],[125.7,21.1]]","[[19.5,73.5],[286.0,23.1],[791.1,0.6],[863.9,3.3]]","[[0.0,1.0],[12.57,1.0],[12.57,1.0],[62.852,1.0],[62.852,1.0],[113.133,1.0],[113.133,1.0],[125.703,1.0],[1000000000.0,1.0]]","[[0.0,0.775],[79.661,0.775],[79.661,0.881],[229.627,0.881],[229.627,0.981],[785.015,0.981],[785.015,0.746],[833.561,0.746],[834.561,0.0]]",ESCAPE
Phase 2 (coarse),1167,5.5882,5.1,88.5,33.1,83.7,69.2,57.2,120.0,44.6,125.8,21.5,29.1,719.8,19.8,0.0,18.6,66.0,238.0,19.6,661.8,3.0,562.8,4.1,0.77,0.73,0.94,0.77,0.08,0.31,0.92,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1007245020.71,5792324.37,1000000000.00,0.00,0.00,550338.71,630.000,550338.71,10745.695,1834.891,9.832,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.1,88.5],[33.1,83.7],[69.2,57.2],[120.0,44.6],[125.8,21.5]]","[[18.6,66.0],[238.0,19.6],[562.8,4.1],[661.8,3.0]]","[[0.0,1.0],[12.583,1.0],[12.583,1.0],[62.914,1.0],[62.914,1.0],[113.245,1.0],[113.245,1.0],[125.828,1.0],[1000000000.0,1.0]]","[[0.0,0.765],[60.563,0.765],[60.563,0.73],[220.077,0.73],[220.077,0.938],[663.243,0.938],[663.243,0.769],[719.781,0.769],[720.781,0.0]]",ESCAPE
Phase 2 (coarse),1165,5.8404,1.0,87.6,48.6,82.1,71.6,52.1,113.8,49.9,128.0,21.2,21.9,823.9,16.2,0.0,19.0,65.7,273.0,22.6,698.0,3.8,396.6,2.8,0.79,0.69,0.85,0.81,0.12,0.31,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1000896942.58,5847351.67,1000000000.00,0.00,0.00,706020.84,647.000,706020.84,10615.191,2344.982,12.762,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.0,87.6],[48.6,82.1],[71.6,52.1],[113.8,49.9],[128.0,21.2]]","[[19.0,65.7],[273.0,22.6],[396.6,2.8],[698.0,3.8]]","[[0.0,1.0],[12.799,1.0],[12.799,1.0],[63.993,1.0],[63.993,1.0],[115.187,1.0],[115.187,1.0],[127.986,1.0],[1000000000.0,1.0]]","[[0.0,0.79],[100.341,0.79],[100.341,0.686],[251.343,0.686],[251.343,0.854],[777.353,0.854],[777.353,0.808],[823.94,0.808],[824.94,0.0]]",ESCAPE
Phase 2 (coarse),1169,5.7809,4.7,87.8,39.2,84.2,74.9,57.8,119.8,48.2,124.4,22.2,29.2,800.0,8.8,0.0,11.0,71.3,254.6,22.6,605.6,3.2,340.0,2.7,0.74,0.78,0.99,0.79,0.09,0.26,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1002215035.03,5839718.77,1000000000.00,0.00,0.00,750899.94,605.000,750899.94,10584.193,2570.756,14.057,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.7,87.8],[39.2,84.2],[74.9,57.8],[119.8,48.2],[124.4,22.2]]","[[11.0,71.3],[254.6,22.6],[340.0,2.7],[605.6,3.2]]","[[0.0,1.0],[12.439,1.0],[12.439,1.0],[62.195,1.0],[62.195,1.0],[111.952,1.0],[111.952,1.0],[124.391,1.0],[1000000000.0,1.0]]","[[0.0,0.74],[74.73,0.74],[74.73,0.783],[206.185,0.783],[206.185,0.993],[758.79,0.993],[758.79,0.792],[800.034,0.792],[801.034,0.0]]",ESCAPE
Phase 2 (coarse),1173,5.5882,4.9,88.5,37.8,79.9,66.0,56.0,119.9,50.0,128.0,22.2,25.6,773.1,17.9,0.0,9.7,71.0,259.8,14.9,538.5,3.2,620.3,3.1,0.76,0.84,0.94,0.73,0.05,0.25,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1008526213.02,5790008.51,1000000000.00,0.00,0.00,607062.52,601.000,607062.52,10704.435,1751.503,9.417,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.9,88.5],[37.8,79.9],[66.0,56.0],[119.9,50.0],[128.0,22.2]]","[[9.7,71.0],[259.8,14.9],[538.5,3.2],[620.3,3.1]]","[[0.0,1.0],[12.796,1.0],[12.796,1.0],[63.978,1.0],[63.978,1.0],[115.16,1.0],[115.16,1.0],[127.956,1.0],[1000000000.0,1.0]]","[[0.0,0.762],[39.198,0.762],[39.198,0.842],[193.525,0.842],[193.525,0.939],[728.072,0.939],[728.072,0.731],[773.05,0.731],[774.05,0.0]]",ESCAPE
Phase 2 (coarse),1174,5.5950,4.2,88.5,39.9,79.9,66.1,60.3,118.5,49.0,127.0,22.6,29.8,833.4,20.1,0.0,16.5,70.8,272.8,6.9,698.9,2.8,549.4,4.5,0.73,0.81,0.99,0.83,0.07,0.33,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1002681437.38,5790906.94,1000000000.00,0.00,0.00,459593.81,621.000,459593.81,10808.219,926.381,4.917,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.2,88.5],[39.9,79.9],[66.1,60.3],[118.5,49.0],[127.0,22.6]]","[[16.5,70.8],[272.8,6.9],[549.4,4.5],[698.9,2.8]]","[[0.0,1.0],[12.704,1.0],[12.704,1.0],[63.518,1.0],[63.518,1.0],[114.332,1.0],[114.332,1.0],[127.035,1.0],[1000000000.0,1.0]]","[[0.0,0.734],[58.63,0.734],[58.63,0.813],[277.596,0.813],[277.596,0.991],[786.234,0.991],[786.234,0.831],[833.445,0.831],[834.445,0.0]]",ESCAPE
Phase 2 (coarse),1175,5.6004,5.9,85.5,47.1,79.4,65.2,50.1,115.0,48.0,125.6,21.0,27.8,742.8,15.8,0.0,13.3,65.1,210.9,23.0,614.2,4.5,320.1,4.1,0.75,0.68,1.00,0.76,0.05,0.28,0.92,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1000883529.55,5797016.66,1000000000.00,0.00,0.00,526632.73,618.500,526632.73,10752.272,1939.923,10.394,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.9,85.5],[47.1,79.4],[65.2,50.1],[115.0,48.0],[125.6,21.0]]","[[13.3,65.1],[210.9,23.0],[320.1,4.1],[614.2,4.5]]","[[0.0,1.0],[12.557,1.0],[12.557,1.0],[62.783,1.0],[62.783,1.0],[113.009,1.0],[113.009,1.0],[125.566,1.0],[1000000000.0,1.0]]","[[0.0,0.752],[37.75,0.752],[37.75,0.68],[210.233,0.68],[210.233,1.0],[684.765,1.0],[684.765,0.762],[742.806,0.762],[743.806,0.0]]",ESCAPE
Phase 2 (coarse),1171,5.6629,3.7,87.9,34.5,84.0,65.4,49.8,118.4,44.1,125.0,21.1,29.5,729.7,11.0,0.0,8.2,71.3,288.0,23.2,435.5,2.6,415.4,2.3,0.75,0.63,1.00,0.90,0.09,0.28,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1004192744.82,5824971.18,1000000000.00,0.00,0.00,580001.67,625.000,580001.67,10717.105,1462.498,7.843,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.7,87.9],[34.5,84.0],[65.4,49.8],[118.4,44.1],[125.0,21.1]]","[[8.2,71.3],[288.0,23.2],[415.4,2.3],[435.5,2.6]]","[[0.0,1.0],[12.5,1.0],[12.5,1.0],[62.502,1.0],[62.502,1.0],[112.504,1.0],[112.504,1.0],[125.004,1.0],[1000000000.0,1.0]]","[[0.0,0.747],[64.08,0.747],[64.08,0.635],[204.806,0.635],[204.806,0.998],[692.932,0.998],[692.932,0.903],[729.67,0.903],[730.67,0.0]]",ESCAPE
Phase 2 (coarse),1170,5.6609,5.1,86.7,36.4,82.8,65.4,58.7,119.7,43.3,124.4,21.0,28.0,672.3,12.8,0.0,19.2,73.6,273.4,18.1,622.0,2.8,549.3,1.5,0.74,0.59,0.97,0.82,0.08,0.25,0.93,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1000365849.16,5812265.89,1000000000.00,0.00,0.00,598761.90,623.500,598761.90,10695.539,1912.439,10.300,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.1,86.7],[36.4,82.8],[65.4,58.7],[119.7,43.3],[124.4,21.0]]","[[19.2,73.6],[273.4,18.1],[549.3,1.5],[622.0,2.8]]","[[0.0,1.0],[12.441,1.0],[12.441,1.0],[62.207,1.0],[62.207,1.0],[111.972,1.0],[111.972,1.0],[124.413,1.0],[1000000000.0,1.0]]","[[0.0,0.743],[53.224,0.743],[53.224,0.595],[170.524,0.595],[170.524,0.972],[625.296,0.972],[625.296,0.818],[672.266,0.818],[673.266,0.0]]",ESCAPE
Phase 2 (coarse),1172,5.6827,6.0,88.5,45.2,76.4,68.9,56.8,117.9,46.8,128.9,21.9,28.2,817.8,17.3,0.0,18.5,71.4,250.2,23.0,571.9,3.6,509.3,4.6,0.75,0.69,0.96,0.75,0.12,0.28,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1000892582.71,5814301.58,1000000000.00,0.00,0.00,621720.16,634.500,621720.16,10678.956,1991.716,10.749,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.0,88.5],[45.2,76.4],[68.9,56.8],[117.9,46.8],[128.9,21.9]]","[[18.5,71.4],[250.2,23.0],[509.3,4.6],[571.9,3.6]]","[[0.0,1.0],[12.89,1.0],[12.89,1.0],[64.452,1.0],[64.452,1.0],[116.013,1.0],[116.013,1.0],[128.903,1.0],[1000000000.0,1.0]]","[[0.0,0.752],[94.863,0.752],[94.863,0.689],[231.785,0.689],[231.785,0.957],[776.927,0.957],[776.927,0.746],[817.821,0.746],[818.821,0.0]]",ESCAPE
Phase 2 (coarse),1176,5.7682,5.9,88.5,40.4,81.8,60.9,58.1,118.7,43.7,130.1,22.7,24.3,832.4,19.3,0.0,19.4,66.2,293.2,18.0,566.1,4.4,667.4,3.8,0.81,0.63,0.90,0.73,0.12,0.29,0.92,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1007426721.79,5831466.69,1000000000.00,0.00,0.00,594831.80,646.000,594831.80,10711.747,1703.878,9.153,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[5.9,88.5],[40.4,81.8],[60.9,58.1],[118.7,43.7],[130.1,22.7]]","[[19.4,66.2],[293.2,18.0],[566.1,4.4],[667.4,3.8]]","[[0.0,1.0],[13.01,1.0],[13.01,1.0],[65.048,1.0],[65.048,1.0],[117.087,1.0],[117.087,1.0],[130.096,1.0],[1000000000.0,1.0]]","[[0.0,0.809],[101.994,0.809],[101.994,0.625],[237.657,0.625],[237.657,0.901],[762.173,0.901],[762.173,0.731],[832.39,0.731],[833.39,0.0]]",ESCAPE
Phase 2 (coarse),1177,5.5883,3.8,85.4,36.0,79.9,71.6,63.0,115.4,40.6,129.9,21.2,23.6,828.9,12.1,0.0,19.5,68.8,147.5,8.6,771.5,4.3,395.1,4.2,0.88,0.76,0.98,0.73,0.08,0.29,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1050489254.18,5760703.43,1000000000.00,0.00,0.00,377060.61,595.500,377060.61,10883.004,795.177,4.190,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.8,85.4],[36.0,79.9],[71.6,63.0],[115.4,40.6],[129.9,21.2]]","[[19.5,68.8],[147.5,8.6],[395.1,4.2],[771.5,4.3]]","[[0.0,1.0],[12.99,1.0],[12.99,1.0],[64.95,1.0],[64.95,1.0],[116.91,1.0],[116.91,1.0],[129.9,1.0],[1000000000.0,1.0]]","[[0.0,0.878],[67.028,0.878],[67.028,0.764],[240.711,0.764],[240.711,0.983],[784.531,0.983],[784.531,0.731],[828.91,0.731],[829.91,0.0]]",ESCAPE
Phase 2 (coarse),1182,5.7695,2.6,83.2,48.7,75.9,69.9,54.8,119.8,44.5,124.5,22.7,27.6,629.8,12.2,0.0,17.4,74.4,290.4,20.9,785.4,3.5,433.1,4.6,0.75,0.78,1.00,0.76,0.08,0.26,0.85,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1002338394.42,5823974.73,1000000000.00,0.00,0.00,821630.81,593.500,821630.81,10532.299,3150.255,17.404,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.6,83.2],[48.7,75.9],[69.9,54.8],[119.8,44.5],[124.5,22.7]]","[[17.4,74.4],[290.4,20.9],[433.1,4.6],[785.4,3.5]]","[[0.0,1.0],[12.452,1.0],[12.452,1.0],[62.261,1.0],[62.261,1.0],[112.07,1.0],[112.07,1.0],[124.522,1.0],[1000000000.0,1.0]]","[[0.0,0.749],[52.54,0.749],[52.54,0.778],[161.09,0.778],[161.09,1.0],[537.515,1.0],[537.515,0.756],[629.761,0.756],[630.761,0.0]]",ESCAPE
Phase 2 (coarse),1183,5.6320,4.0,88.5,40.0,78.7,65.9,59.6,117.7,45.0,124.5,23.0,27.2,828.6,19.9,0.0,19.2,72.3,231.7,22.0,643.0,3.6,234.0,3.3,0.80,0.84,1.00,0.74,0.08,0.30,0.93,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1001807498.29,5795418.84,1000000000.00,0.00,0.00,707379.53,604.500,707379.53,10615.888,2506.277,13.656,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.0,88.5],[40.0,78.7],[65.9,59.6],[117.7,45.0],[124.5,23.0]]","[[19.2,72.3],[231.7,22.0],[234.0,3.3],[643.0,3.6]]","[[0.0,1.0],[12.448,1.0],[12.448,1.0],[62.242,1.0],[62.242,1.0],[112.036,1.0],[112.036,1.0],[124.485,1.0],[1000000000.0,1.0]]","[[0.0,0.804],[62.541,0.804],[62.541,0.841],[246.881,0.841],[246.881,0.997],[770.465,0.997],[770.465,0.735],[828.612,0.735],[829.612,0.0]]",ESCAPE
Phase 2 (coarse),1181,5.6573,6.1,88.4,40.9,80.6,65.3,51.5,119.6,48.3,126.3,21.9,28.1,637.8,17.9,0.0,8.4,74.9,235.9,23.3,666.3,3.7,606.6,2.8,0.79,0.60,0.98,0.79,0.11,0.31,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1007629645.42,5828303.12,1000000000.00,0.00,0.00,599668.85,629.500,599668.85,10708.419,2218.256,11.955,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.1,88.4],[40.9,80.6],[65.3,51.5],[119.6,48.3],[126.3,21.9]]","[[8.4,74.9],[235.9,23.3],[606.6,2.8],[666.3,3.7]]","[[0.0,1.0],[12.626,1.0],[12.626,1.0],[63.13,1.0],[63.13,1.0],[113.633,1.0],[113.633,1.0],[126.259,1.0],[1000000000.0,1.0]]","[[0.0,0.795],[72.052,0.795],[72.052,0.602],[198.775,0.602],[198.775,0.981],[605.838,0.981],[605.838,0.792],[637.758,0.792],[638.758,0.0]]",ESCAPE
Phase 2 (coarse),1180,5.6022,3.8,88.2,37.0,78.3,69.7,51.4,111.1,46.0,125.4,21.5,22.2,793.7,12.2,0.0,12.1,74.0,241.5,23.3,671.9,4.3,455.9,3.7,0.81,0.71,0.97,0.81,0.09,0.33,0.91,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1010414298.51,5787695.53,1000000000.00,0.00,0.00,658535.25,622.500,658535.25,10668.829,2365.787,12.812,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[3.8,88.2],[37.0,78.3],[69.7,51.4],[111.1,46.0],[125.4,21.5]]","[[12.1,74.0],[241.5,23.3],[455.9,3.7],[671.9,4.3]]","[[0.0,1.0],[12.542,1.0],[12.542,1.0],[62.708,1.0],[62.708,1.0],[112.875,1.0],[112.875,1.0],[125.417,1.0],[1000000000.0,1.0]]","[[0.0,0.806],[70.135,0.806],[70.135,0.706],[265.137,0.706],[265.137,0.974],[722.292,0.974],[722.292,0.805],[793.672,0.805],[794.672,0.0]]",ESCAPE
